charge,species,alpha
0,H-H,0.787
0,Li-Na,39.999
0,C#O,1.953
0,F-H,0.8
0,Mg=O,1.75
0,O=N,1.698
0,H-Br,3.616
0,F-F,1.16
0,Cl-H,2.515
0,C#O,1.953
0,N#N,1.71
0,O=O,1.562
0,Cl-Cl,4.61
0,Ca=O,2.841
0,Br-Br,6.431
0,H-Be-H,4.34
0,H-C#N,2.593
0,H-O-H,1.501
0,N#N=O,2.998
0,O=C=O,2.507
0,O-N-O,2.91
0,O-O-O,3.079
0,F-C#N,2.55
0,H-S-H,3.631
0,O=C=S,5.09
0,O=S=O,3.882
0,S=C=S,8.749
0,H-Se-H,4.77
0,Se-C-Se,11.269
0,Br-C#N,5.824
0,H-C-H,1.581
0,H-C#C,3.596
0,H-N-H,1.834
0,N=N-H,2.505
0,H-N=B,3.413
0,C#N-H,2.724
0,N=C=N,3.739
0,C1-N=N1,3.145
0,C=N=N,3.711
0,Li-O-H,2.722
0,O=C-H,2.59
0,C-O-H,2.59
0,H-N=O,2.228
0,O=B=O,4.08
0,F-C-H,2.456
0,F-O-H,1.759
0,F-H-F,2.725
0,F-N=O,2.618
0,Na-O-H,3.354
0,H-O-Mg,8.442
0,F-Mg-F,2.545
0,H-Si-H,5.239
0,Si1-C#C1,6.756
0,H-P-H,4.389
0,H-C-Cl,4.268
0,H-O-Cl,3.342
0,K-O-H,2.869
0,K-C#N,3.819
0,C#N-K,3.601
0,C1-K-N1,3.673
0,H-Ca-H,6.935
0,Cl-Ca-Cl,7.338
0,O=Ti=O,5.592
0,Cl-Ge-Cl,9.205
0,S=Ge=S,11.36
0,F-Cu-F,3.6
0,Zn-N#C,7.193
0,Zn-C#N,7.193
0,Cl-Zn-Cl,7.552
0,O=As=O,2.274
0,Se=C=O,6.231
0,O=Se=O,4.995
0,H-C=C-H,3.587
0,H-N(-H)-H,2.103
0,N#C-C#N,5.105
0,C=O,2.77
0,F-B(-F)-F,2.42
0,F-N(-F)-F,2.81
0,H-P(-H)-H,4.237
0,F-P(-F)-F,4.414
0,O=S(=O)=O,4.297
0,F-S(=O)-F,3.927
0,H-C#C-Cl,6.07
0,F-Cl(-F)-F,7.483
0,Cl-C(=O)-Cl,6.79
0,Cl-B(-Cl)-Cl,8.7
0,Cl-C(=S)-Cl,9.573
0,Cl-P(-Cl)-Cl,10.634
0,H-As(-H)-H,5.468
0,Cl-As(-Cl)-Cl,11.37
0,Br-B(-Br)-Br,11.351
0,Br-P(-Br)-Br,14.38
0,C,2.448
0,C=C=O,4.4
0,C-F,2.54
0,F-C-F,2.761
0,F-C(-F)-F,2.801
0,F-C(-F)(-F)-F,2.824
0,H-Si(-H)(-H)-H,4.777
0,F-Si(-F)(-F)-F,3.319
0,C-Cl,4.416
0,H-Si(-Cl)(-H)-H,9.113
0,F-C-Cl,4.509
0,Cl-C-Cl,6.659
0,F-C(-Cl)-F,4.44
0,Cl-C(-F)-Cl,6.611
0,F-C(-F)(-F)-Cl,4.65
0,Cl-C(-Cl)-Cl,8.129
0,F-C(-Cl)(-Cl)-F,6.37
0,Cl-C(-Cl)(-Cl)-Cl,10.002
0,Cl-Si(-Cl)(-Cl)-Cl,11.269
0,C-Br,5.61
0,F-C(-F)(-Br)-F,5.65
0,Br-C-Br,8.68
0,Br-C(-Br)-Br,11.84
0,C=C,4.188
0,C#C-C#C,6.811
0,H-N(-N(-H)-H)-H,3.46
0,C-C#N,4.28
0,C-O-H,3.21
0,O=C-N(-H)-H,4.08
0,O=N(-N(=O)=O)=O,6.495
0,F-P(-F)(-F)(-F)-F,3.65
0,C-S-H,5.186
0,C=C-Cl,6.41
0,C=C(-Cl)-Cl,7.83
0,Cl-C=C-Cl,8.03
0,Cl-C=C(-Cl)-Cl,9.751
0,C=C-Br,7.59
0,C=C=C,5.69
0,C-C#C,5.55
0,C-N(-H)-H,3.754
0,N#C-C-C#N,5.79
0,C-C=O,4.278
0,C1-O-C1,4.431
0,C-N(=O)=O,4.8
0,C1-S-C1,6.91
0,F-S(-F)(-F)(-F)(-F)-F,4.49
0,Cl-C(-Cl)(-C=O)-Cl,10.5
0,F-Se(-F)(-F)(-F)(-F)-F,5.32
0,C=C-C=O,6.379
0,C-C,4.226
0,C-O-C=O,5.05
0,C-C(=O)-O-H,5.149
0,C-C-F,4.164
0,C-C(-F)(-F)-F,4.4
0,F-C-C(-F)(-F)-F,4.549
0,F-C(-F)(-C(-F)(-F)-F)-F,4.623
0,F-C(-F)(-C(-F)(-F)-F)-F,4.668
0,H-Si(-H)(-Si(-H)(-H)-H)-H,9.41
0,C-C-Cl,6.59
0,F-C-C-Cl,6.499
0,C-C(-Cl)-Cl,8.161
0,Cl-C-C-Cl,8
0,Cl-C-C(-Cl)-Cl,10.26
0,C-C(-Cl)(-Cl)-Cl,10.12
0,C-C-Br,7.28
0,C1-C-C1,5.64
0,C-C=C,5.99
0,C-C-C#N,6.24
0,C1=C-N(-H)-N=C1,7.23
0,C1=C-N=C-N1-H,7.09
0,C-O-C,5.16
0,C-C-O-H,5.112
0,C-C(=O)-N(-H)-H,5.67
0,C1=C-O-C=C1,7.23
0,C-S-C,7.55
0,C-C-S-H,7.38
0,C1=C-S-C=C1,9.01
0,C=C-Cl,7.4
0,Cl-C-C-O-H,6.88
0,C=C-C=C,8.881
0,C#C-C-C,7.41
0,C-C#C-C,7.48
0,C-N(-H)-C,5.447
0,C-C-N(-H)-H,5.87
0,C1=C-N(-H)-N=C1,7.94
0,C-C=C-C#N,8.201
0,C-C-C=O,6.35
0,C-C(=O)-C,6.27
0,H-O-C-C-O-H,5.71
0,C=C1-O-C(=O)-C1,8
0,C-S(=O)-C,7.969
0,C-C-C,5.921
0,C1=C-N=C-C=C1,9.493
0,O=C-C=C-C,8.5
0,C-C-O-C=O,6.88
0,C-C-C(=O)-O-H,6.96
0,C-C(=O)-O-C,6.811
0,F-C(-F)(-C(-F)(-F)-C(-F)(-F)-F)-F,6.525
0,C-S(=O)(=O)-C,8.401
0,C-C-C-Cl,10
0,C-C(-Br)-C,9.6
0,C-C-C-Br,9.07
0,C=C-C-C,9.83
0,C-C(=C)-C,7.88
0,C-C=C-C,7.88
0,C1=C-C=C-C=C1,9.959
0,C-C(-C)-C#N,8.049
0,N#C-C-C-C,8.4
0,H-B1-N(-H)-B(-H)-N(-H)-B(-H)-N1-H,8
0,C-C-C-O-H,6.67
0,C-C(-O-H)-C,6.67
0,C-N(-C)-C=O,7.809
0,C-C(=O)-C(=O)-C,8.201
0,C1-O-C-O-C-O1,7.02
0,O=C1-C=C-C(=O)-C=C1,11.229
0,O=C1-N(-H)-C(=O)-C=C-N1-H,10.09
0,C1=C-C=C(-F)-C=C1,10.2
0,F-C1=C(-F)-C(-F)=C(-F)-C(-F)=C1-F,9.58
0,C1=C-C=C(-Cl)-C=C1,11.861
0,Cl-C1=C-C=C-C(-Cl)=C1,13.729
0,C1=C-C=C(-Br)-C=C1,14.7
0,C1-C-C12-C-C2,8.049
0,H-N(-H)-C-C-C,7.7
0,C-N(-C)-C,7.076
0,C-C(-H)(-N(-H)-H)-C,7.769
0,C1=C-C(-C#N)=C-C=C1,11.981
0,C-C(=O)-C-C,8.19
0,O=C-C-C-C,8.18
0,C-O-C-O-C,7.7
0,C-C-C-O-N=O,8.5
0,C1=C-C=C(-O-H)-C=C1,10.909
0,C-C-C-C,8.02
0,C-C(-C)-C,8.009
0,C1=C-C=C(-N(-H)-H)-C=C1,11.581
0,C1-C-C(=O)-C-C1,9.25
0,C1-O-C-C-O-C1,8.43
0,C-C-O-C(=O)-C,8.62
0,H-O-C-C(-O-H)-C-O-H,7.86
0,C1=C-C=C(-C=O)-C=C1,12.8
0,C1=C-C=C(-N(=O)=O)-C=C1,12.259
0,Cl-C-C-C-C,11.301
0,C-C(-Cl)-C-C,12.499
0,C-C(-C)(-Cl)-C,9.879
0,C1-C-C-C-C1,9.17
0,C-C=C-C-C,9.839
0,C=C-C-C-C,9.65
0,C1=C-C=C(-C)-C=C1,11.861
0,C-C(-C)(-C#N)-C,9.591
0,C-O-C-C-C,8.86
0,C-C(-O-H)-C-C,8.57
0,C-C-O-C-C,8.73
0,C-C-C-C-O-H,8.57
0,C-C-S-C-C,10.549
0,C-C-C-C-C#C,10.9
0,C1=C-C(-C=C)=C-C=C1,14.409
0,C-C-C(=O)-C-C,9.93
0,C-C-C-C(=O)-C,9.93
0,C1=C-C(-O-C)=C-C=C1,13.1
0,C-C-C-C-C,9.879
0,C-C-C(-C)-C,8.77
0,C-C(-C)(-C)-C,10.24
0,C1-C-N(-H)-C-C-C1,10.32
0,C1-C-C(=O)-C-C-C1,11.061
0,Cl-C-C-C-C-C,12
0,C=C-C-C-C-C,11.65
0,C1-C-C-C-C-C1,11
0,C1=C(-C)-C=C(-C)-C=C1,14.26
0,C-C-C-O-C-C,10.68
0,C-C-C-C-C-O-H,11.581
0,C-C-C-C-C-C,11.63
0,C-C-C-O-C-C-C,12.219
0,C-C-N(-C-C)-C-C,13.38
0,C-C-C-C-C-C-C,13.371
0,C-C-C-C-C-C-C-C,15.239
0,C-C(-C)(-C(-C)(-C)-C)-C,15.61
0,C-C-C-C-C-C-C-C-C,17.37
0,C-C-C-C-C-C-C-C-C-C,19.1
0,Li-Na,39.999
0,C#O,1.953
0,H-Br,3.616
0,F-F,1.16
0,Cl-H,2.515
0,C#O,1.953
0,Cl-Cl,4.61
0,Ca=O,2.841
0,K-H,7.244
0,K-F,1.695
0,K-Cl,3.767
0,Li-Na,39.999
0,Na-K,55.892
0,Li-K,49.725
0,K-K,80.642
0,Ca-H,21.07
0,F-Ca,19.364
0,Ca=S,14.077
0,Cl-Ca,19.797
0,H-Zn,6.416
0,F-Zn,5.303
0,Zn=S,9.368
0,Zn=O,5.903
0,N-Br,4.576
0,Cl-Br,5.646
0,F-Br,3.63
0,P-Br,7.252
0,K=Br,8.134
0,Si-Br,8.729
0,Li-H,4.174
0,Li-Li,31.404
0,He-H,1.034
0,Be=Be,18.401
0,Li-Be,29.31
0,H-B,3.585
0,B-B,7.345
0,Be-B,10.612
0,Li-C,5.509
0,Be-C,8.146
0,C#C,7.494
0,B=C,4.893
0,N#B,3.622
0,Li-N,4.265
0,Be=N,5.894
0,O=B,2.707
0,O=Be,5.02
0,Na-F,2.622
0,Na-Be,34.163
0,Na-Na,35.812
0,Mg=Mg,24.797
0,Na-Mg,42.964
0,Mg=N,10.255
0,H-Al,7.283
0,B-Al,13.102
0,F-Al,5.861
0,O=Al,6.533
0,Si#Si,8.503
0,Si#N,7.351
0,Si=O,4.539
0,Si-F,5.445
0,P-H,4.188
0,O=P,4.288
0,Li-P,9.125
0,Al#P,13.396
0,P#C,5.71
0,H-S,5.312
0,S=O,3.493
0,S=P,6.835
0,S=B,5.33
0,Li-Cl,4.046
0,C-Cl,4.107
0,Cl-Mg,10.48
0,Ga-F,5.007
0,Ga#P,21.668
0,Ga=S,8.77
0,Ga-N,8.463
0,Ge-H,6.036
0,Ge=Ge,15.094
0,Ge=S,8.037
0,Ge-Cl,7.578
0,Si#Ge,9.747
0,O=Ge,4.937
0,As-H,4.94
0,As#P,8.519
0,As=O,4.966
0,As-F,4.669
0,As=As,9.524
0,Ga#As,13.088
0,H-Se,4.317
0,Si-Se,8.778
0,O=Se,4.399
0,P=Se,8.125
0,As=Se,9.078
0,C=Se,5.248
0,Se-F,4.343
0,Li-Se,7.368
0,C=C=O,4.032
0,N=C=O,3.121
0,F-B=O,2.526
0,F-Be-F,2.032
0,Na-O-Na,18.253
0,Na-C#N,4.025
0,C#N-Na,4.202
0,H-Mg-H,5.039
0,H-Al-H,6.34
0,Al-N#C,8.069
0,O=Si=O,4.629
0,F-Si-F,4.34
0,H-P=O,4.29
0,F-P-F,3.918
0,H-N=S,4.359
0,S=C=N,5.541
0,F-S#N,4.158
0,F-N=S,4.716
0,N=N=N,3.351
0,C=C=C,5.047
0,O=O=O,2.728
0,S=C=S,8.339
0,H-Si-Cl,6.952
0,H-O-Cl,3.342
0,H-C-Cl,4.307
0,Cl-N=O,5.09
0,Cl-C#N,4.535
0,Cl-Be-Cl,6.138
0,Cl-Mg-Cl,7.847
0,Cl-O-Cl,5.655
0,H-Zn-H,4.263
0,F-Zn-F,3.133
0,F-Ge-F,4.501
0,O=Ge=O,5.22
0,H-As-H,5.133
0,Cl-Se-Cl,8.668
0,H-C-Br,5.426
0,H-O-Br,4.313
0,H-Si-Br,8.23
0,Br-N=O,6.388
0,Br-S-Br,10.124
0,Br-Ca-Br,9.909
0,Br-Be-Br,8.461
0,Br-O-Cl,6.677
0,Br-O-Br,7.724
0,O=Br=O,7.17
0,H-B(-H)-H,2.55
0,C=N,2.997
0,H-N(-H)-Li,4.61
0,H-N=N-H,2.873
0,H-B=N-H,3.441
0,H=N=N=N,3.847
0,Li-N(-Li)-Li,22.319
0,H-N(=O)-H,2.566
0,H-O-O-H,2.301
0,H-N=C=O,3.455
0,C#N=O,3.912
0,H-N=N=O,3.59
0,O=C-O,3.681
0,O-C(=O)-O,3.39
0,O=N(-O)=O,4.011
0,Li1-O-Li-O1,4.25
0,C#C-C=O,5.877
0,O=B-B=O,4.552
0,O=N-N=O,4.943
0,H-N(-H)-F,2.217
0,F-C#C,3.547
0,F-C=O,2.703
0,F-B(-H)-F,2.436
0,F-N(-H)-F,2.46
0,F-O-O-F,3.719
0,F-N=N-F,3.285
0,F-O-N=O,3.537
0,F-C#C-F,3.548
0,F-C(=O)-F,2.804
0,Na1-O-Na-O1,6.031
0,Na1-F-Na-F1,3.77
0,H-Al(-H)-H,4.73
0,F-Al(-F)-F,3.093
0,H-Si#Si-H,10.306
0,F-Si(-F)-F,3.89
0,H-S-O-H,4.233
0,H-S-S-H,6.648
0,S=C,5.093
0,H-N=C=S,6.326
0,F-S(-S)-F,6.83
0,S1-N-S-N1,7.35
0,Cl-B(-H)-Cl,6.346
0,Cl-Al(-Cl)-Cl,9.408
0,Cl-P(-Cl)-Cl,10.424
0,Cl-B(-Cl)-Cl,8.248
0,Cl-B(-F)-F,4.24
0,K1-O-K-O1,6.382
0,H-Sc(-H)-H,6.799
0,F-Sc(-F)-F,4.272
0,H-Ga(-H)-H,4.803
0,Cl-Ga(-Cl)-Cl,10.113
0,F-Ga(-F)-F,3.634
0,H-Ge(-H)-H,5.565
0,H-As(-H)-H,5.264
0,Cl-As(-Cl)-Cl,11.236
0,H-Se-Se-H,8.836
0,Cl-Se(=O)-Cl,10.133
0,O-Se(-O)-O,5.619
0,Br-Al(-Br)-Br,13.088
0,Br-C(=O)-Br,9.172
0,H-B(-H)(-H)-H,3.413
0,C-Li,5.67
0,C=B-H,4.607
0,C=N-H,3.38
0,H-N=C=N-H,4.455
0,C-O,3.002
0,H-O-Be-O-H,3.557
0,H-O-O-O-H,3.259
0,C1-O-O1,3.222
0,C1=C-O1,4.042
0,O=N-O-N=O,5.355
0,F-N(=O)(-F)-F,3.835
0,H-O-Mg-O-H,5.169
0,H-S-S-S-H,10.16
0,H-Si(-Cl)(-Cl)-H,7.97
0,Cl-Ti(-Cl)(-Cl)-Cl,14.943
0,F-Ti(-F)(-F)-F,5.262
0,Cu-C,7.29
0,Zn-C,8.541
0,H-Ge(-H)(-H)-H,5.121
0,H-Ge(-H)(-H)-Cl,6.843
0,H-Ge(-H)(-H)-F,4.726
0,F-Ge(-F)(-F)-F,4.067
0,Cl-Ge(-Cl)(-Cl)-Cl,12.479
0,F-Se(-F)(-F)-F,4.987
0,Br-Ge(-Br)(-Br)-Br,17.309
0,Br-Si(-Br)(-Br)-Br,16.311
0,O=N(-O-Br)=O,7.29
0,H-B(-B(-H)-H)-H,4.975
0,H-B(-N(-H)-H)-H,3.941
0,C#C-N(-H)-H,5.042
0,C=C-N-H,5.042
0,C-N#C,4.606
0,N#C-C#C-C#N,9.435
0,O=B-C,4.275
0,H-O-B-C(-H)-H,4.275
0,C-N=O,4.14
0,H-O-C=N-H,4.146
0,O=C-C=O,4.701
0,H-O-C(=O)-O-H,3.938
0,C12-O-Li-O1-Li-O2,5.292
0,F-C-O-H,3.238
0,C=C(-F)-F,4.2
0,F-C=C-F,4.198
0,F-C=C(-F)-F,4.264
0,Na-O-C,6.356
0,C=Si(-H)-H,7.134
0,N1=P-N=P-N=P1,13
0,H-S-C,5.463
0,H-O-S(=O)-O-H,5.355
0,O=S(-F)(-O-H)=O,4.9
0,F-S(-F)(-F)(-F)-F,4.713
0,O=S(-O1)(-O-Mg1)=O,7.749
0,O=Cl(=O)(-O-H)=O,5.491
0,Cl-P(-Cl)(-Cl)(-Cl)-Cl,14.525
0,Cl-B(-B(-Cl)-Cl)-Cl,12.298
0,F-Cl(-F)(-F)(-F)-F,5.614
0,F-S(-F)(-F)(-F)=O,4.605
0,F-As(-F)(-F)(-F)-F,4.631
0,C-Se-H,6.499
0,C-Mg-Br,9.296
0,F-Br(-F)(-F)(-F)-F,5.954
0,C-B(-H)-H,4.355
0,C1-C=C1,5.117
0,C-N=N=N,5.767
0,N1=C-N(-H)-N=N1,5.824
0,H-O-C-O-H,3.884
0,C=C-O-H,4.861
0,C-N=C=O,5.363
0,H-O-C-C#N,5.107
0,H-O-B(-O-H)-O-H,4.196
0,O=C-O-C=O,5.512
0,O=N(-O-N(=O)=O)=O,6.897
0,F-C-C=O,4.496
0,C-C(=O)-F,4.423
0,H-O-S(=O)(=O)-O-H,5.395
0,N1=C-S-C=N1,8.04
0,C-C(=O)-Cl,6.589
0,Cl-S(-F)(-F)(-F)(-F)-F,6.647
0,H-O-Se(=O)(=O)-O-H,6.664
0,F-Se(-F)(-F)(-F)(-F)-F,5.249
0,C1=C-C=C1,6.631
0,C-N=C,5.367
0,N1=C-N=N-C=N1,7.33
0,C=C=C-O-H,6.854
0,F-B(-F)(-N(-H)(-H)-H)-F,4.135
0,H-Al(-H)(-Al(-H)(-H)-H)-H,9.116
0,H-Si(-H)(-C)-H,6.374
0,C-Si(-H)(-H)-F,5.919
0,H-B(-H)(-P(-H)(-H)-H)-H,7.021
0,H-O-P(=O)(-O-H)-O-H,5.741
0,N1-S-N-S-N-S-N-S1,16.148
0,S1-S-S-S-S-S-S-S1,25.918
0,Cl-Al1(-Cl)-Cl-Al(-Cl)(-Cl)-Cl1,18.267
0,H-Ga(-H)(-Ga(-H)(-H)-H)-H,9.538
0,H-Ge(-H)(-C)-H,6.919
0,C1=N-C=N-C1,6.938
0,C-O-C,4.965
0,C-C-O-O,5.675
0,O=C-C=C-O-H,7.045
0,O=C-C-C=O,6.046
0,C-C=C-F,5.937
0,C-Zn-C,7.94
0,C-Se-C,8.398
0,C1-C=C-C1,6.969
0,C1-C(=C)-C1,7.394
0,C1=C-C#C-C=C1,9.868
0,C#C-C=C-C#C,11.143
0,N#C-C-C-C#N,8.206
0,C-O-O-C,6.072
0,N#C-C-O-C,6.373
0,C=C-C(=O)-N(-H)-H,6.773
0,C-C(=S)-C,9.081
0,C1-C-C-S1,8.836
0,F-S(-F)(-F)(-F)(-F)-C(-F)(-F)-F,6.871
0,C-C(=C)-C#C,8.445
0,C#C-C=C-C,8.806
0,N#C-C-C-N(-H)-H,7.507
0,C1=C-N=C-C=C1,9.423
0,C=C-C=C-C#N,9.423
0,O=C-C=C-C,8.311
0,C=C-O-C=C,9.104
0,C1-C(=O)-C-C1,7.451
0,C1-C-O-C=C1,6.864
0,C1-O-C-C=C1,6.952
0,C1-O-C-O-C1,6.571
0,N1=C-C=C(-C)-O1,7.706
0,C-C-O-N(=O)=O,7.596
0,F-C-C-C,6.046
0,C-C(-F)-C,6.046
0,F-C-C-C-F,6.069
0,C=C-S-C=C,11.605
0,C1-S-C-C=C1,9.779
0,C-S-S-S-C,14.081
0,C-C(-Cl)-C,8.049
0,O-C-Fe(-C-O)(-C-O)(-C-O)-C-O,13.101
0,C1-C-C-C1,7.327
0,C=C=C-C=C=C,13.061
0,C-C#C-C#C-C,12.061
0,H-N(-C-C-N(-H)-H)-H,7.08
0,C-O-C-C,6.859
0,C-C(-O-H)-C,6.758
0,C-C-C(=O)-N(-H)-H,7.6
0,O=C-C=C-C=C,11.447
0,C1=C-O-C(-C)=C1,9.572
0,C-N(-N(=O)=O)-C,7.333
0,O=N(-N(=O)-C)-C,8.646
0,C1=C-N=C-C(-O-H)=C1,9.466
0,C1=C-C=N-C(-O-H)=C1,9.36
0,C1=N-C=C-C(-O-H)=C1,9.305
0,C1=N-C-C(=O)-C=C1,9.196
0,C1-N=C-C(=O)-C=C1,9.305
0,C1=C-N=C-C(=O)-C1,9.253
0,C1=N-C(=O)-C=C-C1,9.234
0,C1=N-C(=O)-C-C=C1,9.149
